Area,Year,"Stock, cattle","Stock, goat & sheep","Stock, pig","Stock, birds","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, pig","Slaughtered, birds","Meat Production, cattle","Meat Production, goat & sheep","Meat Production, pig","Meat Production, birds","Egg Production, birds","Milk Production, cow","Meat Yield, cattle","Meat Yield, goat & sheep","Meat Yield, pig","Meat Yield, birds","Aquatic, total","Aquatic, animals","Marine, total","Marine, capture","Marine, aquac.",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, capture","Freshwater, aquac.",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
"China, mainland",1961,4940.0,11281.0,8227.0,62600.0,50.6,1000.0,3300.0,54500.0,4.3,10.0,137.0,57.0,150.0,60.0,85.0,10.0,41.5,1.0458715596330277,,,,,,,,,,,,,,,,,
"China, mainland",1962,4676.0,12387.0,7552.0,64200.0,69.0,1000.0,4300.0,56400.0,6.2,10.0,178.0,59.0,152.0,62.0,89.9,10.0,41.4,1.046099290780142,,,,,,,,,,,,,,,,,
"China, mainland",1963,4736.0,13465.0,9997.0,66300.0,92.5,1200.0,7800.0,58000.0,8.3,12.0,330.0,60.75,154.0,63.5,89.7,10.0,42.3,1.0474137931034482,,,,,,,,,,,,,,,,,
"China, mainland",1964,4894.0,13747.0,13180.0,68400.0,103.5,1400.0,10500.0,59400.0,9.3,14.0,450.0,62.25,158.0,64.0,89.9,10.0,42.9,1.047979797979798,,,,,,,,,,,,,,,,,
"China, mainland",1965,5242.0,13669.0,15247.0,69000.0,116.0,1570.0,12167.0,61600.0,10.4,16.0,525.0,64.5,162.0,64.5,89.7,10.19108280254777,43.1,1.0470779220779218,,,,,,,,,,,,,,,,,
"China, mainland",1966,5357.3008,13902.5008,16692.5008,70000.0,126.0,1860.0,13187.0,63000.0,11.3,19.0,570.0,66.0,167.0,63.0,89.7,10.21505376344086,43.2,1.0476190476190477,,,,,,,,,,,,,,,,,
"China, mainland",1967,5595.0,13808.0,19336.0,71100.0,131.0,1930.0,13378.0,65400.0,11.8,19.7,600.0,68.5,172.0,61.0,90.1,10.207253886010363,44.8,1.047400611620795,,,,,,,,,,,,,,,,,
"China, mainland",1968,5686.0,14433.0,19006.0,72200.0,131.0,1980.0,13114.0,66800.0,11.8,20.2,590.0,70.0,176.0,58.0,90.1,10.202020202020202,45.0,1.0479041916167664,,,,,,,,,,,,,,,,,
"China, mainland",1969,5772.0,14421.0,17863.0,73500.0,133.0,2010.0,12620.0,69600.0,12.2,20.6,570.0,72.9,182.0,60.0,91.7,10.248756218905477,45.2,1.0474137931034484,,,,,,,,,,,,,,,,,
"China, mainland",1970,5750.0,14021.0,17251.0,74700.0,133.0,2040.0,12593.0,71100.0,12.2,21.0,563.5,74.5,187.0,64.0,91.7,10.294117647058824,44.7,1.0478199718706047,,,,,,,,,,,,,,,,,
"China, mainland",1971,5750.0,14704.0,20610.1008,76300.0,150.0,2280.0,14798.0,74500.0,13.8,23.5,655.0,78.0,194.0,68.0,92.0,10.30701754385965,44.3,1.0469798657718121,,,,,,,,,,,,,,,,,
"China, mainland",1972,5748.6,15011.0,25035.0,78800.0,161.0,2470.0,16598.0,78900.0,14.8,25.5,730.0,82.5,200.0,72.5,91.9,10.323886639676113,44.0,1.0456273764258557,,,,,,,,,,,,,,,,,
"China, mainland",1973,5700.0,14932.0,26368.0,80100.0,177.0,2720.0,16684.0,82200.0,16.3,28.0,730.0,86.0,207.0,77.0,92.1,10.294117647058824,43.8,1.0462287104622872,,,,,,,,,,,,,,,,,
"China, mainland",1974,5667.6,15728.0,25794.0,83100.0,187.5,2800.0,16244.0,86600.0,17.4,29.0,725.0,90.5,215.0,80.0,92.8,10.357142857142854,44.6,1.0450346420323324,,,,,,,,,,,,,,,,,
"China, mainland",1975,5655.4,16087.0,26078.0,83800.0,195.0,2930.0,16230.0,89000.0,18.1,30.9,746.0,93.0,223.0,84.0,92.8,10.546075085324233,46.0,1.044943820224719,,,,,,,,,,,,,,,,,
"China, mainland",1976,5554.7008,16337.0,28116.992,88900.0,184.5,2745.0,16650.0,95200.0,17.4,29.0,733.0,99.4,232.0,87.0,94.3,10.56466302367942,44.0,1.0441176470588236,,,,,,,,,,,,,,,,,
"China, mainland",1977,5382.5008,15817.0016,28724.7104,90600.0,195.0,2885.0,16787.0,99700.0,18.4,30.5,730.0,104.0,241.0,90.0,94.4,10.571923743500866,43.5,1.0431293881644934,,,,,,,,,,,,,,,,,
"China, mainland",1978,5272.3008,16135.6,29177.7024,94800.0,195.0,3030.0,16110.0,105100.0,18.4,32.0,804.8,109.5,252.0,110.0,94.4,10.561056105610561,50.0,1.0418648905803995,465.5,439.6,359.8,314.5,45.3,256.4,50.7,26.8,25.9,0.0,105.7,29.5,76.2,99.7,3.7,2.3,0.0
"China, mainland",1979,5252.8,16993.7008,30128.512,97600.0,222.5,3543.5,18768.0,109100.0,21.0,37.7,1001.5,113.75,265.0,85.5,94.4,10.63919853252434,53.4,1.042621448212649,,,,,,,,,,,,,,,,,
"China, mainland",1980,5241.1008,18314.2,31970.5088,105700.0,249.0,4242.0,19861.0,113200.0,23.5,45.0,1134.1,118.0,280.0,114.1,94.4,10.608203677510607,57.1,1.0424028268551238,449.7,423.53,325.71,281.3,44.41,234.12,42.05,23.37,26.17,0.0,123.99,33.97,90.02,116.35,5.14,2.5,0.0
"China, mainland",1981,5251.5008,18731.1008,30543.104,110600.0,246.0,4475.0,19495.0,115700.0,23.5,47.5,1188.4,120.5,290.0,129.1,95.5,10.614525139664805,61.0,1.0414866032843562,,,,,,,,,,,,,,,,,
"China, mainland",1982,5383.3008,18773.0,29370.0096,116900.0,250.0,4750.0,20063.0,120600.0,24.0,52.5,1271.8,125.5,310.0,161.8,96.0,11.052631578947368,63.4,1.0406301824212272,,,,,,,,,,,,,,,,,
"China, mainland",1983,5692.6,18179.0,30078.0032,125300.0,266.0,4790.0,20661.4,124000.0,26.0,54.5,1316.1,129.0,332.3,184.5,97.7,11.377870563674321,63.7,1.0403225806451613,,,,,,,,,,,,,,,,,
"China, mainland",1984,5893.5008,16695.5008,29853.5936,131600.0,306.0,5047.0,22047.0,127400.0,30.1,58.6,1444.7,132.55,431.6,218.6,98.4,11.610857935407171,65.5,1.0404238618524333,,,,,,,,,,,,,,,,,
"China, mainland",1985,6262.2,15840.0016,30679.1936,141200.0,345.0,5081.0,23875.2,133600.0,34.5,59.3,1654.7,139.0,534.7,249.9,100.0,11.670930919110413,69.3,1.0404191616766467,705.15,677.86,419.74,348.51,71.23,274.53,70.62,47.3,27.29,0.0,285.41,47.64,237.77,276.48,5.54,3.39,0.0
"China, mainland",1986,6688.6,15588.4,33139.6096,160800.0,440.0,5227.1008,25721.5008,153400.0,45.0,62.2,1716.7,164.5,555.0,289.9,102.3,11.899521815228814,66.7,1.0723598435462842,823.6,800.3000000000002,475.4,389.6,85.8,309.4,76.9,65.8,23.3,0.0,348.2,53.8,294.4,336.4,6.2,5.6,0.0
"China, mainland",1987,7084.7008,16622.9008,33719.0912,184400.0,520.0,6052.9007999999985,26177.0,169200.0,64.8,71.9,1834.9008,192.0,590.2,330.1,124.6,11.878602074562336,70.1,1.1347517730496457,955.4,931.7,548.2,438.2,110.0,351.6,84.0,88.9,23.7,0.0,407.2,60.0,347.2,393.8,8.1,5.3,0.0
"China, mainland",1988,7308.88,17853.85,32445.6,205500.0,574.2,6792.0,27294.6,202700.0,75.54,80.2,1997.425,236.4,695.5,366.0,131.6,11.80800942285041,73.2,1.166255550074001,1060.9,1035.8000000000004,605.7,463.3,142.4,362.9,103.3,114.4,25.1,0.0,455.2,65.4,389.8,440.8,8.5,5.9,0.0
